admiral	大将		海軍の階級	軍事･防衛	海軍の階級		大将		admiral
aerial bombing	空爆			軍事･防衛			空爆		aerial bombing
air base	空軍基地			軍事･防衛			空軍基地		air base
air defense	防空			軍事･防衛			防空		air defense
air force	空軍			軍事･防衛			空軍		air force
air force base	空軍基地			軍事･防衛			空軍基地		air force base
air raid	空襲			軍事･防衛			空襲		air raid
Air Self-Defense Force	航空自衛隊	ASDF		軍事･防衛		ASDF	航空自衛隊	ASDF	Air Self-Defense Force
air strike	空爆			軍事･防衛			空爆		air strike
air supremacy	制空権			軍事･防衛			制空権		air supremacy
air war	空中戦			軍事･防衛			空中戦		air war
air-raid shelter	防空壕			軍事･防衛			防空壕		air-raid shelter
all-out nuclear war	全面核戦争			軍事･防衛			全面核戦争		all-out nuclear war
all-out war	全面戦争			軍事･防衛			全面戦争		all-out war
anti-aircraft fire	対空砲火			軍事･防衛			対空砲火		anti-aircraft fire
antiballistic missile treaty	弾道弾迎撃ミサイル制限条約			軍事･防衛			弾道弾迎撃ミサイル制限条約		antiballistic missile treaty
antiterrorism law	反テロ法、対テロ法			軍事･防衛			反テロ法、対テロ法		antiterrorism law
armistice	休戦			軍事･防衛			休戦		armistice
arms control	軍備管理			軍事･防衛			軍備管理		arms control
arms embargo	武器輸出禁止			軍事･防衛			武器輸出禁止		arms embargo
asymmetric war	非対称戦争			軍事･防衛			非対称戦争		asymmetric war
attack submarine	攻撃型潜水艦			軍事･防衛			攻撃型潜水艦		attack submarine
battle zone	交戦地帯			軍事･防衛			交戦地帯		battle zone
battlefield	戦場			軍事･防衛			戦場		battlefield
biological terrorism	バイオテロ			軍事･防衛			バイオテロ		biological terrorism
bioterrorism	バイオテロリズム			軍事･防衛			バイオテロリズム		bioterrorism
bloodless military coup	無血軍事クーデター			軍事･防衛			無血軍事クーデター		bloodless military coup
bloodshed	流血の惨事			軍事･防衛			流血の惨事		bloodshed
bomb disposal team	爆弾処理班			軍事･防衛			爆弾処理班		bomb disposal team
booby trap	偽装爆発物			軍事･防衛			偽装爆発物		booby trap
Camp Schwab	キャンプシュワブ			軍事･防衛			キャンプシュワブ		Camp Schwab
cease-fire	停戦			軍事･防衛			停戦		cease-fire
cease-fire agreement	停戦合意			軍事･防衛			停戦合意		cease-fire agreement
cease-fire deal	停戦協定			軍事･防衛			停戦協定		cease-fire deal
ceasefire agreement	停戦合意			軍事･防衛			停戦合意		ceasefire agreement
chemical attack	化学攻撃			軍事･防衛			化学攻撃		chemical attack
chemical warfare	化学戦争			軍事･防衛			化学戦争		chemical warfare
child soldier	子供兵			軍事･防衛			子供兵		child soldier
class-A war criminal	A級戦犯			軍事･防衛			A級戦犯		class-A war criminal
collective defense	集団防衛			軍事･防衛			集団防衛		collective defense
colonization	植民地化			軍事･防衛			植民地化		colonization
comrade-in-arms	戦友			軍事･防衛			戦友		comrade-in-arms
conning tower	(潜水艦の)司令塔			軍事･防衛			(潜水艦の)司令塔		conning tower
contingency plan	非常用対策案			軍事･防衛			非常用対策案		contingency plan
conventional war	通常戦争			軍事･防衛			通常戦争		conventional war
Coordinating Committee on Multilateral Export Controls	対共産圏輸出統制委員会	COCOM		軍事･防衛		COCOM	対共産圏輸出統制委員会	COCOM	Coordinating Committee on Multilateral Export Controls
counterattack	反撃			軍事･防衛			反撃		counterattack
counterintelligence agency	対敵諜報機関			軍事･防衛			対敵諜報機関		counterintelligence agency
court of inquiry	査問委員会、軍人予備裁判所			軍事･防衛			査問委員会、軍人予備裁判所		court of inquiry
court-martial	軍法会議			軍事･防衛			軍法会議		court-martial
crisis management	危機管理			軍事･防衛			危機管理		crisis management
cross fire	十字砲火			軍事･防衛			十字砲火		cross fire
cyber war	サイバー戦争			軍事･防衛			サイバー戦争		cyber war
daisy cutter bomb	破砕性爆弾			軍事･防衛			破砕性爆弾		daisy cutter bomb
damage assessment	攻撃成果評価			軍事･防衛			攻撃成果評価		damage assessment
declaration of war	宣戦布告			軍事･防衛			宣戦布告		declaration of war
defense budget	防衛費			軍事･防衛			防衛費		defense budget
defense capability	防衛能力			軍事･防衛			防衛能力		defense capability
defense secret	防衛機密			軍事･防衛			防衛機密		defense secret
defense spending	防衛費			軍事･防衛			防衛費		defense spending
defense strategy	防衛戦略			軍事･防衛			防衛戦略		defense strategy
Delta Force	陸軍特殊部隊、デルタフォース		アメリカ	軍事･防衛	アメリカ		陸軍特殊部隊、デルタフォース		Delta Force
demilitarized zone	休戦地帯、非武装地帯	DMZ		軍事･防衛		DMZ	休戦地帯、非武装地帯	DMZ	demilitarized zone
disarmament	武装解除			軍事･防衛			武装解除		disarmament
emergency ascent	緊急浮上			軍事･防衛			緊急浮上		emergency ascent
emergency surfacing	緊急浮上			軍事･防衛			緊急浮上		emergency surfacing
emergency surfacing drill	緊急浮上訓練			軍事･防衛			緊急浮上訓練		emergency surfacing drill
enemy territory	敵領地			軍事･防衛			敵領地		enemy territory
espionage	スパイ行為			軍事･防衛			スパイ行為		espionage
ethnic war	民族間の戦争			軍事･防衛			民族間の戦争		ethnic war
fighter plane	戦闘機			軍事･防衛			戦闘機		fighter plane
freedom fighter	自由戦士			軍事･防衛			自由戦士		freedom fighter
friendly fire	味方への誤爆			軍事･防衛			味方への誤爆		friendly fire
front line	前線			軍事･防衛			前線		front line
frontline troops	前線部隊			軍事･防衛			前線部隊		frontline troops
full-scale war	全面戦争			軍事･防衛			全面戦争		full-scale war
Geneva Convention	ジュネーブ条約			軍事･防衛			ジュネーブ条約		Geneva Convention
germ warfare	細菌戦			軍事･防衛			細菌戦		germ warfare
global war	世界戦争			軍事･防衛			世界戦争		global war
government troop	政府軍			軍事･防衛			政府軍		government troop
Ground Self-Defense Force	陸上自衛隊	GSDF		軍事･防衛		GSDF	陸上自衛隊	GSDF	Ground Self-Defense Force
Ground Staff Office	陸上幕僚監部	GSO	陸上自衛隊	軍事･防衛	陸上自衛隊	GSO	陸上幕僚監部	GSO	Ground Staff Office
ground troop	地上軍			軍事･防衛			地上軍		ground troop
guerilla war	ゲリラ戦			軍事･防衛			ゲリラ戦		guerilla war
guerrilla war	ゲリラ戦			軍事･防衛			ゲリラ戦		guerrilla war
Gulf War	湾岸戦争			軍事･防衛			湾岸戦争		Gulf War
gun battle	銃撃戦			軍事･防衛			銃撃戦		gun battle
high-tech war	ハイテク戦争			軍事･防衛			ハイテク戦争		high-tech war
homeland defense	本土防衛			軍事･防衛			本土防衛		homeland defense
humanitarian operation	人道作戦			軍事･防衛			人道作戦		humanitarian operation
incursion	侵略、侵攻			軍事･防衛			侵略、侵攻		incursion
independence war	独立戦争			軍事･防衛			独立戦争		independence war
infantry	歩兵			軍事･防衛			歩兵		infantry
information sharing	情報共有			軍事･防衛			情報共有		information sharing
intelligence agency	諜報機関			軍事･防衛			諜報機関		intelligence agency
intelligence gathering	情報収集			軍事･防衛			情報収集		intelligence gathering
International Campaign to Ban Landmines	地雷を禁止する国際キャンペーン	ICBL		軍事･防衛		ICBL	地雷を禁止する国際キャンペーン	ICBL	International Campaign to Ban Landmines
international force	国際軍			軍事･防衛			国際軍		international force
international forces	国際部隊			軍事･防衛			国際部隊		international forces
international peace activity*	国際平和活動			軍事･防衛			国際平和活動		international peace activity*
International War Crimes Tribunal	国際戦犯法廷			軍事･防衛			国際戦犯法廷		International War Crimes Tribunal
internment camp	強制収容所			軍事･防衛			強制収容所		internment camp
invasion	侵略			軍事･防衛			侵略		invasion
Islamic militants	イスラム武装組織			軍事･防衛			イスラム武装組織		Islamic militants
joint military exercise	共同軍事演習			軍事･防衛			共同軍事演習		joint military exercise
kamikaze attack	奇襲攻撃			軍事･防衛			奇襲攻撃		kamikaze attack
land war	地上戦			軍事･防衛			地上戦		land war
liaison officer	連絡将校			軍事･防衛			連絡将校		liaison officer
line of control	停戦ライン、実行支配線			軍事･防衛			停戦ライン、実行支配線		line of control
logistical support	後方支援、兵站支援			軍事･防衛			後方支援、兵站支援		logistical support
machine gun	機関銃			軍事･防衛			機関銃		machine gun
Maritime Self-Defense Force	海上自衛隊	MSDF		軍事･防衛		MSDF	海上自衛隊	MSDF	Maritime Self-Defense Force
martial law	戒厳令			軍事･防衛			戒厳令		martial law
military action	軍事行動			軍事･防衛			軍事行動		military action
military aggression	軍事侵略			軍事･防衛			軍事侵略		military aggression
military aid	軍事援助			軍事･防衛			軍事援助		military aid
military alliance	軍事同盟			軍事･防衛			軍事同盟		military alliance
military analyst	軍事アナリスト			軍事･防衛			軍事アナリスト		military analyst
military assistance	軍事援助			軍事･防衛			軍事援助		military assistance
military attack	軍事攻撃			軍事･防衛			軍事攻撃		military attack
military balance	軍事バランス			軍事･防衛			軍事バランス		military balance
military base	軍事基地			軍事･防衛			軍事基地		military base
military buildup	軍事増強			軍事･防衛			軍事増強		military buildup
military campaign	軍事行動			軍事･防衛			軍事行動		military campaign
military capability	軍事能力			軍事･防衛			軍事能力		military capability
military communication	軍事通信			軍事･防衛			軍事通信		military communication
military confrontation	軍事対決			軍事･防衛			軍事対決		military confrontation
military cooperation	軍事協力			軍事･防衛			軍事協力		military cooperation
military court	軍事裁判所			軍事･防衛			軍事裁判所		military court
military deployment	軍事配備			軍事･防衛			軍事配備		military deployment
military exchange	軍事交流			軍事･防衛			軍事交流		military exchange
military exercise	軍事演習			軍事･防衛			軍事演習		military exercise
military expansion	軍拡、軍事拡大			軍事･防衛			軍拡、軍事拡大		military expansion
military expenditure	軍事費			軍事･防衛			軍事費		military expenditure
military forces	軍隊			軍事･防衛			軍隊		military forces
military heliport	軍用へリポート			軍事･防衛			軍用へリポート		military heliport
military installation	軍事施設			軍事･防衛			軍事施設		military installation
military intervention	軍事介入			軍事･防衛			軍事介入		military intervention
military invasion	軍事侵略			軍事･防衛			軍事侵略		military invasion
military mission	軍事任務			軍事･防衛			軍事任務		military mission
military mobilization	軍事動員			軍事･防衛			軍事動員		military mobilization
military occupation	軍事占領			軍事･防衛			軍事占領		military occupation
military offensive	軍事攻勢			軍事･防衛			軍事攻勢		military offensive
military onslaught	激しい軍事攻撃			軍事･防衛			激しい軍事攻撃		military onslaught
military parade	軍事パレード			軍事･防衛			軍事パレード		military parade
